cuenca,ubicacion,campo
Burgos,Terrestre,BRASIL
Burgos,Terrestre,FRANCISCO CANO
Burgos,Terrestre,LOMITAS
Burgos,Terrestre,MEXICANO
Burgos,Terrestre,MISION
Burgos,Terrestre,MONTERREY
Burgos,Terrestre,REYNOSA
Burgos,Terrestre,TREVINO
Burgos,Terrestre,VALADECES
Cuencas del Sureste,Terrestre,ACALAPA
Cuencas del Sureste,Terrestre,AGATA
Cuencas del Sureste,Terrestre,ARROYO BLANCO
Cuencas del Sureste,Terrestre,CUICHAPA PONIENTE
Cuencas del Sureste,Terrestre,EL BURRO
Cuencas del Sureste,Terrestre,EL PLAN
Cuencas del Sureste,Terrestre,FILISOLA
Cuencas del Sureste,Terrestre,FORTUNA NACIONAL
Cuencas del Sureste,Terrestre,IXHUATLAN
Cuencas del Sureste,Terrestre,JOSE COLOMO
Cuencas del Sureste,Terrestre,LA VENTA
Cuencas del Sureste,Terrestre,LOS SOLDADOS
Cuencas del Sureste,Terrestre,MAGALLANES TUCAN PAJONAL
Cuencas del Sureste,Terrestre,MECOACAN
Cuencas del Sureste,Terrestre,MOLOACAN
Cuencas del Sureste,Terrestre,NUEVO TEAPA
Cuencas del Sureste,Terrestre,OGARRIO
Cuencas del Sureste,Terrestre,RABON GRANDE
Cuencas del Sureste,Terrestre,SANTA ROSA
Cuencas del Sureste,Terrestre,TACUILOLAPA
Cuencas del Sureste,Terrestre,TONALA
Cuencas del Sureste,Terrestre,VERNET
Cuencas del Sureste,Terrestre,XICALANGO
Tampico-Misantla,Terrestre,ACUATEMPA
Tampico-Misantla,Terrestre,ALAMO SAN ISIDRO
Tampico-Misantla,Terrestre,ALAZAN
Tampico-Misantla,Terrestre,BARCODON
Tampico-Misantla,Terrestre,CHICHIMANTLA
Tampico-Misantla,Terrestre,EZEQUIEL ORDONEZ
Tampico-Misantla,Terrestre,GRAN MORELOS
Tampico-Misantla,Terrestre,GUTIERREZ ZAMORA
Tampico-Misantla,Terrestre,HALLAZGO
Tampico-Misantla,Terrestre,HORCON
Tampico-Misantla,Terrestre,JILIAPA
Tampico-Misantla,Terrestre,LIMON
Tampico-Misantla,Terrestre,MACARENA
Tampico-Misantla,Terrestre,MESA CERRADA
Tampico-Misantla,Terrestre,MIGUEL HIDALGO
Tampico-Misantla,Terrestre,MORALILLO
Tampico-Misantla,Terrestre,MOZUTLA
Tampico-Misantla,Terrestre,NARANJOS VARIOS
Tampico-Misantla,Terrestre,NUEVA COLONIA
Tampico-Misantla,Terrestre,NUEVO PROGRESO
Tampico-Misantla,Terrestre,OCOTEPEC
Tampico-Misantla,Terrestre,PANUCO
Tampico-Misantla,Terrestre,POTRERO DEL LLANO HORCONES
Tampico-Misantla,Terrestre,POZA RICA
Tampico-Misantla,Terrestre,PRESIDENTE ALEMAN
Tampico-Misantla,Terrestre,SAN ANDRES
Tampico-Misantla,Terrestre,SANTA AGUEDA
Tampico-Misantla,Terrestre,SOLIS TIERRA AMARILLA
Tampico-Misantla,Terrestre,TAJIN
Tampico-Misantla,Terrestre,TAMAULIPAS CONSTITUCIONES
Tampico-Misantla,Terrestre,TAMIAHUA
Tampico-Misantla,Terrestre,TECOLUTLA
Tampico-Misantla,Terrestre,TIERRA BLANCA CHAPOPOTE NUNEZ
Tampico-Misantla,Terrestre,TIHUATLAN
Tampico-Misantla,Terrestre,TRES HERMANOS
Tampico-Misantla,Terrestre,VARIOS SECTOR CERRO AZUL
Tampico-Misantla,Terrestre,VICENTE GUERRERO
Tampico-Misantla,Terrestre,XOCOTLA
Tampico-Misantla,Terrestre,ZACAMIXTLE
Veracruz,Terrestre,ANGOSTURA
Veracruz,Terrestre,SAN PABLO
Veracruz,Terrestre,TRES HIGUERAS
Cuencas del Sureste,Aguas someras,SANTA ANA
Veracruz,Terrestre,CASABLANCA
Burgos,Terrestre,CANON ORIENTAL
Cuencas del Sureste,Terrestre,TUPILCO
Tampico-Misantla,Terrestre,LA LAJA
Tampico-Misantla,Terrestre,MIQUETLA
Plataforma de Yucatan,Terrestre,YUCATECO
Cinturon Plegado de Chiapas,Terrestre,CERRO NANCHITAL
Cuencas del Sureste,Terrestre,LA CENTRAL
Tampico-Misantla,Terrestre,CABELLAL
Tampico-Misantla,Terrestre,RANCHO NUEVO
Burgos,Terrestre,CANON
Tampico-Misantla,Terrestre,PASO DE ORO
Tampico-Misantla,Terrestre,SAN JERONIMO
Cuencas del Sureste,Terrestre,CHILAPILLA
Tampico-Misantla,Terrestre,PITAL Y MOZUTLA
Veracruz,Terrestre,RINCON PACHECO
Tampico-Misantla,Terrestre,EL BARCO
Cuencas del Sureste,Terrestre,HORMIGUERO
Tampico-Misantla,Terrestre,ZAPOTALILLO
Tampico-Misantla,Terrestre,SOLEDAD
Burgos,Terrestre,DIECIOCHO DE MARZO
Cuencas del Sureste,Terrestre,CARRIZO
Tampico-Misantla,Terrestre,CERRO DEL CARBON
Tampico-Misantla,Terrestre,BEJUCO
Tampico-Misantla,Terrestre,REMOLINO
Tampico-Misantla,Terrestre,PAPANTLA
Tampico-Misantla,Terrestre,MESA CHICA
Cuencas del Sureste,Terrestre,CINCO PRESIDENTES
Tampico-Misantla,Aguas someras,ISLA DE LOBOS
Tampico-Misantla,Terrestre,FURBERO
Tampico-Misantla,Aguas someras,ARRECIFE MEDIO
Tampico-Misantla,Terrestre,SANTIAGO
